iter 753: loss 29.076022277609432, worst_drop 0.020998433115753556, total_drop_violation 0.004780913694063069, tsv_count 2859.793212890625
iter 754: loss 30.187128546865836, worst_drop 0.02319807610381741, total_drop_violation 0.01668617728384392, tsv_count 2851.85107421875
iter 755: loss 30.007710471553576, worst_drop 0.02275582681505761, total_drop_violation 0.0149509336034752, tsv_count 2851.26171875
iter 756: loss 29.42790228497943, worst_drop 0.021598039774287425, total_drop_violation 0.007485237754579488, tsv_count 2867.93798828125
iter 757: loss 30.15946005614124, worst_drop 0.022080329993054537, total_drop_violation 0.016641979101451442, tsv_count 2849.5263671875
iter 758: loss 28.7255233924081, worst_drop 0.020850510951948453, total_drop_violation 0.0038150064155360666, tsv_count 2834.40234375
iter 759: loss 28.769910084036788, worst_drop 0.021805141909870707, total_drop_violation 0.003730213511266303, tsv_count 2839.68896484375
iter 760: loss 28.90899389029221, worst_drop 0.02097655006341037, total_drop_violation 0.0032972638846115523, tsv_count 2857.9267578125
iter 761: loss 30.498367006652636, worst_drop 0.02266073390517831, total_drop_violation 0.020985256980588857, tsv_count 2839.984130859375
iter 762: loss 29.43178975218247, worst_drop 0.022083580624443266, total_drop_violation 0.011007846557469246, tsv_count 2833.1005859375
iter 763: loss 28.91730794948878, worst_drop 0.021405158747578867, total_drop_violation 0.004889460567885855, tsv_count 2842.836181640625
iter 764: loss 28.583015474986375, worst_drop 0.02081199182728577, total_drop_violation 0.0012508586378031997, tsv_count 2845.79296875
iter 765: loss 28.956149853691326, worst_drop 0.020908565037793703, total_drop_violation 0.0031709078691886557, tsv_count 2863.906005859375
iter 766: loss 28.954168235436793, worst_drop 0.020888028742702236, total_drop_violation 0.0018480673946511296, tsv_count 2876.936279296875
iter 767: loss 28.732290267944336, worst_drop 0.019998760750591815, total_drop_violation 0.0, tsv_count 2873.22900390625
iter 768: loss 29.07614763589924, worst_drop 0.02058546931961225, total_drop_violation 0.003984113535506081, tsv_count 2867.773681640625
iter 769: loss 29.40473622214269, worst_drop 0.020882562236212765, total_drop_violation 0.006198679817862471, tsv_count 2878.48681640625
